system:index,Current_Grassland_AGB_MgC,Current_Grassland_Underground_MgC,Current_Maintenance_AGB_MgC,Current_Maintenance_Underground_MgC,Current_Management_AGB_MgC,Current_Management_Underground_MgC,Current_Restoration_AGB_MgC,Current_Restoration_Underground_MgC,Name,.geo
0,0.0,387013.3015136008,655047.9793018968,1684007.2091136419,3.50236645769359E7,1.4540582964567238E8,1.0235495263766386E7,2.3078324583898953E8,westFrance,"{""type"":""Polygon"",""coordinates"":[[[-1.087355353876971,50.09315871562977],[-3.2846209788769705,49.46889949899514],[-5.30610535387697,47.843458472787276],[-1.7025897288769707,45.921417406291816],[2.2524883961230295,46.95107676598613],[4.361863396123028,49.525982869704066],[6.910691521123028,50.876064068820256],[2.516160271123029,51.31762627441974],[-1.087355353876971,50.09315871562977]]]}"
1,500947.9202453205,1.3637653447934952E8,2.146202199210535E8,2.7295861079539907E8,2.2003819705950007E8,4.917298240054119E8,9367739.818725375,2.0467433351256114E8,westUSA,"{""type"":""Polygon"",""coordinates"":[[[-121.40962097887697,49.067450162534435],[-124.22212097887697,47.54767699922032],[-125.36469910387699,42.521578964298925],[-124.66157410387696,37.89313719043075],[-121.05805847887697,37.05612935501023],[-118.24555847887697,35.138854890991],[-117.01508972887697,36.280669097619906],[-119.21235535387697,40.947614919677946],[-119.38813660387697,43.165992940964166],[-120.44282410387697,44.872288367528206],[-119.03657410387699,47.96130141254787],[-121.40962097887697,49.067450162534435]]]}"
2,0.0,9192287.34772549,5.270052101969253E7,3.083810672640102E8,2.5353269681093666E8,1.7982086300217767E9,2.3802866156421848E7,1.4239541230189936E9,russia,"{""type"":""Polygon"",""coordinates"":[[[56.99522996832759,55.05550702323632],[57.52257371832758,52.51198328957655],[61.829214343327585,52.40487335669727],[63.235464343327585,53.9843008500172],[83.27452684332758,53.09643988378601],[85.73546434332758,50.65549401958885],[89.51476121832758,53.62096564106527],[93.03038621832758,55.055507023236316],[88.72374559332758,57.16225991442478],[84.50499559332758,57.39979166950542],[71.49718309332758,58.2422810878412],[62.620229968327585,58.426836268349724],[58.137808093327585,57.16225991442477],[56.99522996832759,55.05550702323632]]]}"
3,51.29752492904663,3244391.974445198,3.651438200034231E8,5.971532459671748E8,1.4715030788072062E9,2.6788658265745673E9,5.7067409819333516E7,4.680216024368429E8,amazonas,"{""type"":""Polygon"",""coordinates"":[[[-70.44617628167241,-11.045089777119882],[-65.61219190667241,-11.73436336133584],[-56.82312940667241,-12.765022786261314],[-52.25281690667242,-9.575117290328329],[-46.89148878167241,-5.830613875889658],[-43.024301281672415,-2.8512446545070196],[-43.903207531672415,-1.1824163817218794],[-49.000863781672415,0.6631879957320466],[-56.47156690667241,-3.37780761559422],[-62.096566906672415,-7.0532896983249485],[-68.95203565667241,-7.924690123539958],[-70.44617628167241,-11.045089777119882]]]}"
4,0.0,1921580.7511749126,1314791.7864484703,1854581.9851354703,4.980386547998768E8,1.3371148681091046E9,2.412989104580585E7,1.2024301925323555E8,westAfrica,"{""type"":""Polygon"",""coordinates"":[[[-15.602426281672416,12.858571163272007],[-17.623910656672415,11.052986862818965],[-11.032113781672415,5.226252918306777],[-5.4950044066724155,2.8592809001718997],[1.8878080933275854,3.9997938409955784],[2.151479968327586,8.19372441301798],[-3.561410656672415,9.40967904886111],[-9.450082531672415,10.880415815890602],[-15.602426281672416,12.858571163272007]]]}"
5,156027.75510326927,1.6086065187225217E7,8.761101776782496E8,1.0960928952908533E9,2.78138222886812E9,5.889748630085073E9,8.097403576353416E7,7.481945495098798E8,centralAfrica,"{""type"":""Polygon"",""coordinates"":[[[19.905386218327585,5.838618426762043],[16.917104968327585,5.401278675046011],[13.928823718327585,6.8867943491164585],[11.731558093327585,8.019699789239953],[7.776479968327587,7.322872051537413],[5.842886218327586,3.8244222509356587],[8.743276843327585,-2.3244405672712216],[12.874136218327585,-8.18576023591864],[18.587026843327585,-7.227707576478448],[26.23351121832759,-8.09875560386172],[31.682729968327585,-7.0532896983249485],[35.549917468327585,-3.2900657500724133],[36.428823718327585,0.7510719185064476],[31.243276843327585,3.9997938409955784],[24.91515184332759,5.926046252097433],[19.905386218327585,5.838618426762043]]]}"
6,32.12104916572571,826725.4609946924,4.58305926574676E7,1.1584375761696339E8,1.0731457157870445E8,6.190753143478211E8,8500883.185722623,1.713294466082897E8,eastMadagascar,"{""type"":""Polygon"",""coordinates"":[[[46.272573718327585,-21.980070773010638],[45.569448718327585,-25.042147363628867],[47.942495593327585,-25.518984070127498],[51.018667468327585,-15.915204649742712],[51.106558093327585,-13.278803437579276],[49.348745593327585,-11.47608198957441],[46.887808093327585,-13.876840178294785],[47.766714343327585,-17.346798280010436],[46.272573718327585,-21.980070773010638]]]}"
7,158361.16558305328,1.214441100965062E8,4.5996894844188774E8,1.360416728676321E9,4.572007987046947E9,1.5326854872686375E10,1.2295971817413627E8,2.0531998029313223E9,southEastAsia,"{""type"":""Polygon"",""coordinates"":[[[118.60655809332758,-11.562202316550275],[131.96593309332758,-9.748405136143116],[153.67491746832758,-11.73436336133584],[154.20226121832758,-1.8852850278967133],[140.75499559332758,2.156833855584974],[129.24132371832758,8.975871166592238],[123.17687059332758,19.935823383897343],[115.96983934332758,24.250632714605313],[105.86241746832759,23.68990830687329],[98.30382371832759,28.502587896008574],[90.83312059332758,28.19318507961064],[86.70226121832758,26.554237746904455],[89.60265184332758,19.357900504194017],[95.84288621832759,10.70930058979144],[93.64562059332758,3.913692304288735],[100.85265184332758,-6.440746687863476],[115.70616746832758,-11.990854308638506],[118.60655809332758,-11.562202316550275]]]}"
8,5236.103927748811,7.716680400706315E7,3950502.505471485,1.633818331742062E7,2.2480753631650853E8,1.2430975682260413E9,2.7910797614788923E7,2.8565778076303844E9,eastUSA,"{""type"":""Polygon"",""coordinates"":[[[-101.06025132242736,40.21906793817436],[-90.64521225992736,37.899044182782475],[-79.13154038492736,37.864359017718385],[-74.38544663492736,36.78104384082828],[-73.28681382242736,40.31966058006067],[-78.25263413492736,44.97093814208285],[-86.33857163492736,46.04875940236141],[-92.09540757242736,47.93688096309267],[-95.39130600992738,50.57479477659518],[-100.70868882242738,50.43504619333866],[-105.01532944742738,51.129659488072754],[-105.93818100992736,49.35940858755992],[-101.32392319742738,46.50436613336159],[-101.06025132242736,40.21906793817436]]]}"
9,0.0,1.8147869032616585E7,1.1369358335002606E8,5.2957217047573876E8,6.944022529947501E8,4.674587327383736E9,8.975756836793761E7,3.7190607852122207E9,europe,"{""type"":""Polygon"",""coordinates"":[[[-11.454459179875979,53.51926023582357],[-11.015006054875977,50.76965850343313],[-4.686881054875981,47.19551333791431],[8.672493945124018,46.474012271969684],[22.20765019512402,45.80412077338895],[37.67640019512402,49.12980541561704],[40.31311894512402,53.30972185884982],[41.10413457012402,55.40891644152341],[31.787728320124018,57.164707280460156],[32.22718144512401,59.42706975080665],[22.910775195124018,59.649853889148474],[17.725228320124018,55.756653265039496],[12.18811894512402,56.92565565824822],[10.342415820124018,58.3370484193347],[4.80530644512402,56.588392648458914],[-4.774771679875981,59.11269077265043],[-10.311881054875977,57.685223688615324],[-11.454459179875979,53.51926023582357]]]}"
10,292575.9693628031,3.3950936678812325E7,3.1951847701357645E8,1.0529702538628428E9,1.4435988010436848E8,8.552909739258379E8,1.6822681694473114E7,5.475754810018374E8,eastChina,"{""type"":""Polygon"",""coordinates"":[[[104.20960332012403,26.241958988676217],[107.46155644512403,25.53031788872374],[111.85608769512402,27.652168135963738],[117.56897832012402,27.496353668077724],[123.36975957012402,31.398444281900357],[120.99671269512405,34.71251089764538],[115.45960332012403,33.03424442069196],[112.03186894512403,31.62323519193137],[103.59436894512403,32.51696029613268],[100.95765019512402,29.19798496844685],[104.20960332012403,26.241958988676217]]]}"
11,4966297.220146624,5.003522739577172E8,145489.59204143914,448071.13009322487,987998.4032355589,7922237.871053248,308322.55238948803,1.2476190592531858E7,southAfrica,"{""type"":""Polygon"",""coordinates"":[[[13.89023791240141,-21.407217072143542],[15.999612912401405,-28.10606353803226],[22.23984728740141,-29.262599107509125],[26.107034787401407,-26.465818088265102],[25.491800412401403,-21.24347155701584],[18.724222287401403,-18.932440162386907],[13.890237912401409,-19.347599247852436],[13.89023791240141,-21.407217072143542]]]}"
12,2644603.165137008,1.0724721890707227E9,2172360.356483352,1.66377110696098E7,422605.68771526305,6707551.7674844535,100544.77806375074,2.1160289756342154E7,argentina,"{""type"":""Polygon"",""coordinates"":[[[-55.89491833759859,-35.42053942788248],[-61.16835583759859,-32.43112988640595],[-65.21132458759858,-32.65340366713753],[-68.90273083759858,-35.06162544655715],[-69.25429333759858,-40.87627862402544],[-62.04726208759859,-44.3043255458306],[-57.30116833759859,-40.0067186669278],[-55.89491833759859,-35.42053942788248]]]}"
